trade_id,action,type,timestamp,entry_price,exit_price,stop_loss,take_profit,lots,quantity,risk_amount,risk_percent,pnl,pnl_points,pnl_percent,duration_bars,exit_reason,signal_reason,consecutive_losses,win_streak,capital_at_entry,entry_open,entry_high,entry_low,entry_close,entry_volume,entry_EMA_8,entry_EMA_21,entry_EMA_50,entry_RSI,entry_MACD,entry_MACD_signal,entry_MACD_hist,entry_ATR,entry_BB_width,entry_ema8_vs_ema21,entry_price_vs_ema50,entry_returns_1min,entry_hour,entry_minute,entry_day_of_week,entry_has_open_position,entry_consecutive_losses,entry_win_streak,entry_capital,exit_open,exit_high,exit_low,exit_close,exit_volume,exit_EMA_8,exit_EMA_21,exit_EMA_50,exit_RSI,exit_MACD,exit_MACD_signal,exit_MACD_hist,exit_ATR,exit_BB_width,exit_ema8_vs_ema21,exit_price_vs_ema50,exit_returns_1min,exit_hour,exit_minute,exit_day_of_week,exit_has_open_position,exit_consecutive_losses,exit_win_streak,exit_capital,data_type
1968,BUY,BUY_STRONG,2020-06-26 09:29:00,10394.1,10370.65,10377.582857142857,10443.65142857143,1,75,1238.7857142857306,,-1758.7500000000546,-23.450000000000728,-0.22560875881510403,7,STOP_LOSS,"EMA8>EMA21, Price>EMA50, RSI=53.0, MACD_hist=1.76",1,0,,10380.15,10395.0,10377.25,10394.1,0.0,10374.229191031995,10352.447960891514,10330.746811715506,52.975810140178496,21.009725245565278,19.24920216951463,1.7605230760506494,13.764285714285895,0.0151520798172556,21.781230140481057,0.006132488719271523,0.13969709815406794,9,29,4,False,1,0,,10379.9,10381.95,10367.2,10370.65,0.0,10382.496349395125,10369.247415264384,10344.709889371676,50.793730272292734,16.633164057333488,19.64276123065639,-3.009597173322902,11.232142857142858,0.004805047912660445,13.248934130740963,0.002507572556962101,-0.08430159739484244,9,36,4,True,1,0,,EXECUTED_TRADE
1969,BUY,BUY_MODERATE,2020-06-26 09:54:00,10390.7,10374.65,10380.59,10421.03,1,75,758.2500000000047,,-1203.7500000000819,-16.05000000000109,-0.15446505047784165,6,STOP_LOSS,"EMA8>EMA21, Price>EMA50, RSI=61.0, MACD_hist=0.29",2,0,,10387.55,10391.1,10386.8,10390.7,0.0,10382.12151650701,10376.624245533547,10361.230674922734,60.98688560304225,5.9178819470125745,5.627896457647605,0.2899854893649696,8.425000000000052,0.0028282152239564695,5.497270973462946,0.002844191583205591,0.021177263320026896,9,54,4,False,2,0,,10380.35,10384.1,10374.35,10374.65,0.0,10381.133703262512,10378.962296067451,10365.751528658631,49.59630539730182,3.8409363596492767,5.1825830950502665,-1.3416467354009898,7.76071428571439,0.003100890951671601,2.171407195060965,0.0008584492225929274,-0.0626134869450845,10,0,4,True,2,0,,EXECUTED_TRADE
1970,BUY,BUY_MODERATE,2020-06-26 10:05:00,10393.6,10382.05,10383.6,10423.6,1,75,750.0,,-866.2500000000819,-11.550000000001091,-0.1111260775862174,8,STOP_LOSS,"EMA8>EMA21, Price>EMA50, RSI=65.2, MACD_hist=0.13",3,0,,10389.0,10393.7,10388.85,10393.6,0.0,10385.74597623555,10381.793889555142,10369.42396747877,65.24448215388232,4.316502581530585,4.1883944508548545,0.1281081306757308,6.9892857142857405,0.003125104939311733,3.9520866804086836,0.002331473049713484,0.0437961122528252,10,5,4,False,3,0,,10389.3,10393.6,10382.05,10382.05,0.0,10390.704049278194,10388.07844332824,10376.242248589393,50.674610443624026,4.053666852618335,5.259468813239915,-1.2058019606215806,6.985714285714233,0.003090766945967448,2.6256059499537514,0.0005597162509767273,-0.06785958360205901,10,13,4,True,3,0,,EXECUTED_TRADE
1971,SELL,SELL_MODERATE,2020-06-26 10:15:00,10370.9,10340.15,10380.9,10340.9,1,75,750.0,,2306.25,30.75,0.2965027143256612,3,TAKE_PROFIT,"EMA8<EMA21, Price<EMA50, RSI=46.0, MACD_hist=-2.67",4,0,,10384.4,10384.4,10370.9,10370.9,0.0,10385.153066847302,10386.183837461354,10376.326927667487,45.96355199763643,1.524202418353525,4.189988224031711,-2.665785805678186,7.392857142857143,0.0034437901116013995,-1.0307706140520168,-0.0005230104742572905,-0.12663652428483996,10,15,4,False,4,0,,10358.0,10358.0,10338.15,10340.15,0.0,10368.57970086231,10378.552958272994,10374.038167922987,24.044228642038064,-4.977165683623753,0.8755046853771796,-5.852670369000932,9.017857142857272,0.005933149738591965,-9.9732574106838,-0.003266632277079018,-0.16461978140811517,10,18,4,True,4,0,,EXECUTED_TRADE
1972,SELL,SELL_MODERATE,2020-06-26 10:27:00,10342.1,10356.35,10355.334285714285,10302.397142857144,1,75,992.571428571426,,-1068.75,-14.25,-0.13778632966225426,4,STOP_LOSS,"EMA8<EMA21, Price<EMA50, RSI=32.2, MACD_hist=-2.09",0,1,,10337.25,10344.25,10330.35,10342.1,0.0,10344.359010883069,10357.370247605118,10364.302435913592,32.15681090187381,-11.54515345127038,-9.452157543565818,-2.0929959077045623,11.028571428571402,0.00925424005904979,-13.011236722049944,-0.002142202627806178,0.04982127223214228,10,27,4,False,0,1,,10351.15,10360.55,10351.15,10356.35,0.0,10347.962366274995,10354.805226832263,10362.042457712212,49.614930249639364,-8.203078329155687,-9.510679256014711,1.307600926859024,11.0535714285713,0.00661867306210999,-6.842860557268068,-0.0005493567253215259,0.05265242635905665,10,31,4,True,0,1,,EXECUTED_TRADE
1973,SELL,SELL_MODERATE,2020-06-26 10:51:00,10327.2,10338.0,10337.2,10297.2,1,75,750.0,,-809.9999999999454,-10.799999999999272,-0.10457820125493136,1,STOP_LOSS,"EMA8<EMA21, Price<EMA50, RSI=33.3, MACD_hist=-1.75",1,0,,10321.0,10327.5,10319.5,10327.2,0.0,10329.87857831702,10339.179535825697,10349.68685272602,33.27204749109015,-8.32112813722415,-6.570913057314295,-1.7502150799098555,6.732142857142857,0.004646866135888756,-9.30095750867622,-0.0021727085124412238,0.062010696845216096,10,51,4,False,1,0,,10326.4,10338.0,10326.4,10338.0,0.0,10331.683338691015,10339.072305296088,10349.22854477598,44.29996930156526,-7.340972596341089,-6.724924965119654,-0.6160476312214351,7.382142857142883,0.004545875512288754,-7.38896660507271,-0.0010849644229422584,0.10457820125493456,10,52,4,True,1,0,,EXECUTED_TRADE
1974,BUY,BUY_MODERATE,2020-06-26 11:06:00,10364.95,10347.7,10354.895714285714,10395.112857142858,1,75,754.0714285714356,,-1293.75,-17.25,-0.16642627316098968,19,STOP_LOSS,"EMA8>EMA21, Price>EMA50, RSI=69.0, MACD_hist=3.78",2,0,,10368.25,10371.2,10364.9,10364.95,0.0,10361.640033144296,10352.047471143163,10351.189412042742,69.01769054669343,6.467060278990175,2.6911474336544314,3.7759128453357436,8.378571428571506,0.006986953981393469,9.592562001133047,0.0013293726362739733,-0.027488956191268343,11,6,4,False,2,0,,10355.45,10356.25,10340.75,10347.7,0.0,10360.562702954312,10362.179275968707,10358.556991541247,40.14623228345299,1.0238466938135389,4.031408290319443,-3.007561596505904,7.528571428571273,0.0028742602601800893,-1.6165730143948167,-0.0010481181452312027,-0.07387485695798945,11,25,4,True,2,0,,EXECUTED_TRADE
1975,SELL,SELL_MODERATE,2020-06-26 11:25:00,10347.7,10362.3,10357.7,10317.7,1,75,750.0,,-1094.9999999998909,-14.599999999998545,-0.14109415618928403,4,STOP_LOSS,"EMA8<EMA21, Price<EMA50, RSI=40.1, MACD_hist=-3.01",3,0,,10355.45,10356.25,10340.75,10347.7,0.0,10360.562702954312,10362.179275968707,10358.556991541247,40.14623228345299,1.0238466938135389,4.031408290319443,-3.007561596505904,7.528571428571273,0.0028742602601800893,-1.6165730143948167,-0.0010481181452312027,-0.07387485695798945,11,25,4,False,3,0,,10353.9,10362.7,10352.7,10362.3,0.0,10358.325765857842,10360.361796304014,10358.213966842075,39.43293914205997,-0.41375776561835664,1.4297222628873179,-1.8434800285056745,8.189285714285688,0.003263128820504223,-2.036030446171935,0.00039447275090132017,0.08209546253550304,11,29,4,True,3,0,,EXECUTED_TRADE
1976,SELL,SELL_MODERATE,2020-06-26 11:30:00,10352.8,10363.25,10362.91857142857,10322.444285714284,1,75,758.8928571428642,,-783.7500000000546,-10.450000000000728,-0.1009388764392312,5,STOP_LOSS,"EMA8<EMA21, Price<EMA50, RSI=36.9, MACD_hist=-1.89",4,0,,10362.7,10362.7,10352.8,10352.8,0.0,10357.097817889433,10359.674360276376,10358.001654416896,36.90948062995603,-0.926607234756375,0.9584563633585794,-1.8850635981149544,8.432142857142935,0.003395941265891832,-2.5765423869434017,-0.0005021870617947233,-0.09167848836648673,11,30,4,False,4,0,,10359.65,10364.1,10359.1,10363.25,0.0,10358.123247222946,10359.010849219425,10357.95078769126,43.304796582764475,-0.6116823659103829,-0.3793931660107591,-0.23228919989962382,8.725000000000234,0.0031347867286179807,-0.887601996479134,0.0005116081759182212,0.039095683064327424,11,35,4,True,4,0,,EXECUTED_TRADE
1977,BUY,BUY_MODERATE,2020-06-26 11:36:00,10365.35,10346.5,10355.35,10395.35,1,75,750.0,,-1413.7500000000273,-18.850000000000364,-0.181855894880543,4,STOP_LOSS,"EMA8>EMA21, Price>EMA50, RSI=54.8, MACD_hist=0.30",5,0,,10363.1,10366.8,10360.65,10365.35,0.0,10359.729192284514,10359.587135654023,10358.240952879838,54.76618348349518,-0.008557012562960153,-0.30522593532119935,0.2966689227582392,7.982142857142987,0.0029656251546870253,0.14205663049142458,0.000686317990912011,0.020263913347640106,11,36,4,False,5,0,,10358.7,10359.4,10345.85,10346.5,0.0,10356.728591780997,10358.442207263182,10357.956556871353,46.25483998789509,-1.0244152355789993,-0.28535967359431785,-0.7390555619846815,7.196428571428702,0.0024258604262384423,-1.7136154821855598,-0.0011060634217231469,-0.11536475051769912,11,40,4,True,5,0,,EXECUTED_TRADE
1978,SELL,SELL_MODERATE,2020-06-26 11:40:00,10346.5,10357.45,10356.5,10316.5,1,75,750.0,,-821.2500000000546,-10.950000000000728,-0.10583289034940054,3,STOP_LOSS,"EMA8<EMA21, Price<EMA50, RSI=46.3, MACD_hist=-0.74",6,0,,10358.7,10359.4,10345.85,10346.5,0.0,10356.728591780997,10358.442207263182,10357.956556871353,46.25483998789509,-1.0244152355789993,-0.28535967359431785,-0.7390555619846815,7.196428571428702,0.0024258604262384423,-1.7136154821855598,-0.0011060634217231469,-0.11536475051769912,11,40,4,False,6,0,,10351.45,10360.9,10351.4,10357.45,0.0,10354.684097367464,10356.92235707226,10357.298602794986,45.7997555037642,-1.6796268131711258,-1.0311812459117082,-0.6484455672594176,6.76071428571439,0.002085584569828294,-2.2382597047962918,1.4617441363773409e-05,0.05747959232962341,11,43,4,True,6,0,,EXECUTED_TRADE
1979,SELL,SELL_MODERATE,2020-06-26 11:44:00,10352.6,10364.8,10362.6,10322.6,1,75,750.0,,-914.9999999999181,-12.199999999998909,-0.11784479261247327,6,STOP_LOSS,"EMA8<EMA21, Price<EMA50, RSI=49.8, MACD_hist=-0.61",7,0,,10358.05,10359.15,10352.6,10352.6,0.0,10354.220964619139,10356.529415520237,10357.11434386185,49.81036281529405,-1.792751667322591,-1.1834953301938849,-0.6092563371287061,6.52142857142852,0.0021035640223033593,-2.308450901098695,-0.00043586888316282657,-0.0468261975679396,11,44,4,False,7,0,,10361.3,10364.8,10361.25,10364.8,0.0,10359.509936881945,10358.161337554977,10357.731259655591,49.42861761523903,0.47937124387135555,-0.6073098505486789,1.0866810944200345,6.317857142857065,0.0020305828929364994,1.3485993269678147,0.0006824602962949289,0.03474501023046361,11,50,4,True,7,0,,EXECUTED_TRADE
1980,BUY,BUY_MODERATE,2020-06-26 11:50:00,10364.8,10352.85,10354.8,10394.8,1,75,750.0,,-896.2499999999181,-11.949999999998909,-0.11529407224450938,3,STOP_LOSS,"EMA8>EMA21, Price>EMA50, RSI=49.4, MACD_hist=1.09",8,0,,10361.3,10364.8,10361.25,10364.8,0.0,10359.509936881945,10358.161337554977,10357.731259655591,49.42861761523903,0.47937124387135555,-0.6073098505486789,1.0866810944200345,6.317857142857065,0.0020305828929364994,1.3485993269678147,0.0006824602962949289,0.03474501023046361,11,50,4,False,8,0,,10356.85,10356.85,10351.7,10352.85,0.0,10357.348982648158,10357.551981634091,10357.51410895674,44.74554139290841,-0.2212453648498922,-0.265897235823092,0.04465187097319978,6.692857142856805,0.0020334856630343616,-0.2029989859329362,-0.0004503116199191526,-0.03572618294701568,11,53,4,True,8,0,,EXECUTED_TRADE
1981,SELL,SELL_MODERATE,2020-06-26 11:55:00,10355.6,10375.2,10365.6,10325.6,1,75,750.0,,-1470.0000000000273,-19.600000000000364,-0.18926957395032992,6,STOP_LOSS,"EMA8<EMA21, Price<EMA50, RSI=58.9, MACD_hist=-0.04",9,0,,10357.6,10358.35,10353.8,10355.6,0.0,10357.06419937975,10357.407422838092,10357.45546928302,58.85839581856839,-0.30103899099958653,-0.2562874082069098,-0.044751582792676714,6.335714285714208,0.0019611408322047492,-0.34322345834152657,-0.0001791433512335905,-0.022687887081906943,11,55,4,False,9,0,,10363.1,10376.55,10362.95,10375.2,0.0,10361.915059231087,10359.242491530404,10358.222530650022,66.53591585527619,1.52638866426787,0.11894092730574995,1.4074477369621199,5.742857142856857,0.0020023074506952724,2.6725677006834303,0.0016390330773201622,0.12304040067745436,12,1,4,True,9,0,,EXECUTED_TRADE
1982,BUY,BUY_MODERATE,2020-06-26 12:01:00,10375.2,10361.4,10365.2,10405.2,1,75,750.0,,-1035.0000000000819,-13.800000000001091,-0.13300948415453284,8,STOP_LOSS,"EMA8>EMA21, Price>EMA50, RSI=66.5, MACD_hist=1.41",10,0,,10363.1,10376.55,10362.95,10375.2,0.0,10361.915059231087,10359.242491530404,10358.222530650022,66.53591585527619,1.52638866426787,0.11894092730574995,1.4074477369621199,5.742857142856857,0.0020023074506952724,2.6725677006834303,0.0016390330773201622,0.12304040067745436,12,1,4,False,10,0,,10369.65,10371.15,10359.4,10361.4,0.0,10366.992447607576,10364.317639274486,10361.20491177276,55.195747776936564,2.728822675468109,2.6636174119692257,0.06520526349888334,6.5071428571426235,0.0028281801384226644,2.6748083330894588,1.8828720105501517e-05,-0.07907730288536641,12,9,4,True,10,0,,EXECUTED_TRADE
1983,BUY,BUY_MODERATE,2020-06-26 12:09:00,10361.4,10349.65,10351.4,10391.4,1,75,750.0,,-881.25,-11.75,-0.1134016638678171,21,STOP_LOSS,"EMA8>EMA21, Price>EMA50, RSI=55.2, MACD_hist=0.07",11,0,,10369.65,10371.15,10359.4,10361.4,0.0,10366.992447607576,10364.317639274486,10361.20491177276,55.195747776936564,2.728822675468109,2.6636174119692257,0.06520526349888334,6.5071428571426235,0.0028281801384226644,2.6748083330894588,1.8828720105501517e-05,-0.07907730288536641,12,9,4,False,11,0,,10356.1,10357.25,10345.45,10349.65,0.0,10362.186656586398,10366.627046073094,10365.301184013651,36.09128792144813,-1.9218997000789386,1.05164540057124,-2.9735451006501785,6.674999999999922,0.0033154850619204535,-4.440389486695494,-0.0015099594055010268,-0.06421212208993499,12,30,4,True,11,0,,EXECUTED_TRADE
