signal_id,timestamp,signal_action,signal_type,signal_price,status,skip_reason,consecutive_losses,win_streak,current_capital,has_open_position,feature_open,feature_high,feature_low,feature_close,feature_volume,feature_EMA_8,feature_EMA_21,feature_EMA_50,feature_RSI,feature_MACD,feature_MACD_signal,feature_MACD_hist,feature_ATR,feature_BB_width,feature_ema8_vs_ema21,feature_price_vs_ema50,feature_returns_1min,feature_hour,feature_minute,feature_day_of_week,feature_has_open_position,feature_consecutive_losses,feature_win_streak,feature_capital
39,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
40,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
41,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
42,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
43,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
44,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
45,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
46,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
47,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
48,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
49,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
50,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
51,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
52,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
53,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
54,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
55,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
56,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
57,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
58,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
59,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
60,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
61,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
62,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
63,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
64,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
65,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
66,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
67,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
68,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
69,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
70,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
71,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
72,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
73,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
74,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
