trade_id,timestamp,action,strategy,status,exit_price,pnl
113,2022-05-31 14:45:00+05:30,BUY,trend_following,CLOSED,16566.3,-5321.250000000055
114,2022-06-02 10:15:00+05:30,SELL,trend_following,CLOSED,16536.1,750.0
115,2022-06-02 10:30:00+05:30,SELL,trend_following,CLOSED,16541.2,1500.0
116,2022-06-02 11:30:00+05:30,SELL,trend_following,CLOSED,16586.05,-2951.249999999891
117,2022-06-03 13:30:00+05:30,BUY,trend_following,CLOSED,16686.05,750.0
118,2022-06-03 13:45:00+05:30,BUY,trend_following,CLOSED,16700.05,750.0
119,2022-06-06 13:15:00+05:30,SELL,trend_following,CLOSED,16165.304999999998,62174.25000000012
120,2022-06-06 13:30:00+05:30,SELL,trend_following,CLOSED,16175.9325,124430.24999999997
121,2022-06-14 10:30:00+05:30,SELL,trend_following,CLOSED,15415.627499999999,29645.437500000073
122,2022-06-14 10:45:00+05:30,SELL,trend_following,CLOSED,15418.1625,29650.31249999997
123,2022-06-17 14:30:00+05:30,SELL,trend_following,CLOSED,15318.7,750.0
124,2022-06-17 14:45:00+05:30,SELL,trend_following,CLOSED,15369.15,1500.0
125,2022-06-20 15:00:00+05:30,SELL,trend_following,CLOSED,15382.5,-6828.750000000082
126,2022-06-23 12:15:00+05:30,BUY,trend_following,CLOSED,15398.0,-4604.999999999973
127,2022-06-23 12:30:00+05:30,BUY,trend_following,CLOSED,15398.0,-5298.749999999973
128,2022-06-27 14:30:00+05:30,BUY,trend_following,CLOSED,15851.35,750.0
129,2022-06-27 15:00:00+05:30,BUY,trend_following,CLOSED,15776.193236743271,-4455.507244254704
130,2022-06-27 15:15:00+05:30,BUY,trend_following,CLOSED,15778.383698047457,-4024.972646440665
131,2022-06-29 15:00:00+05:30,BUY,trend_following,CLOSED,15799.75,1500.0
132,2022-06-29 15:15:00+05:30,BUY,trend_following,CLOSED,15809.1,750.0
133,2022-06-30 10:45:00+05:30,BUY,trend_following,CLOSED,15769.95,-5257.499999999891
134,2022-07-01 13:30:00+05:30,SELL,trend_following,CLOSED,15671.15,750.0
135,2022-07-01 14:30:00+05:30,SELL,trend_following,CLOSED,15712.191895911932,-7403.210966974257
136,2022-07-01 14:45:00+05:30,SELL,trend_following,CLOSED,15728.2,-7440.000000000327
137,2022-07-05 13:45:00+05:30,BUY,trend_following,CLOSED,15827.95,-3877.499999999918
138,2022-07-05 14:00:00+05:30,BUY,trend_following,CLOSED,15867.35,3750.0
139,2022-07-08 14:15:00+05:30,BUY,trend_following,CLOSED,16176.15,1500.0
140,2022-07-08 14:30:00+05:30,BUY,trend_following,CLOSED,16184.0,1500.0
141,2022-07-12 14:00:00+05:30,SELL,trend_following,CLOSED,16124.95,3000.0
142,2022-07-12 14:15:00+05:30,SELL,trend_following,CLOSED,16119.9,2250.0
143,2022-07-13 09:45:00+05:30,SELL,trend_following,CLOSED,16111.45,3000.0
144,2022-07-13 10:00:00+05:30,SELL,trend_following,CLOSED,16119.25,3750.0
145,2022-07-19 13:00:00+05:30,BUY,trend_following,CLOSED,16679.363749999997,30511.031249999814
146,2022-07-20 15:00:00+05:30,BUY,trend_following,CLOSED,16527.0,750.0
147,2022-07-25 15:15:00+05:30,BUY,trend_following,CLOSED,16564.25,-5006.25
148,2022-07-27 10:00:00+05:30,SELL,trend_following,CLOSED,16572.95,-7462.5
149,2022-07-27 10:15:00+05:30,SELL,trend_following,CLOSED,16572.95,-6427.500000000327
150,2022-08-02 09:45:00+05:30,BUY,trend_following,CLOSED,17250.65,1500.0
151,2022-08-02 10:00:00+05:30,BUY,trend_following,CLOSED,17236.3,3000.0
152,2022-08-03 10:00:00+05:30,BUY,trend_following,CLOSED,17310.1,750.0
153,2022-08-05 14:00:00+05:30,BUY,trend_following,CLOSED,17380.2,-93.75
154,2022-08-11 14:00:00+05:30,BUY,trend_following,CLOSED,17654.35,1500.0
155,2022-08-12 10:30:00+05:30,BUY,trend_following,CLOSED,17657.6,1500.0
156,2022-08-12 14:30:00+05:30,BUY,trend_following,CLOSED,17685.2,1500.0
