equity,drawdown
1103900.8355080467,0.00900744416873478
1098545.835508047,0.00900744416873478
1099295.835508047,0.00900744416873478
1103045.835508047,0.00900744416873478
1099802.0855080478,0.00900744416873478
1096370.8355080488,0.00900744416873478
1097870.8355080488,0.00900744416873478
1099370.8355080488,0.00900744416873478
1100870.8355080488,0.00900744416873478
1102370.8355080488,0.00900744416873478
1099475.2780310828,0.00900744416873478
1094652.9358915929,0.00900744416873478
1088596.6858915924,0.00900744416873478
1082292.0914152798,0.00900744416873478
1081767.0914152798,0.00900744416873478
1085517.0914152798,0.00900744416873478
1081122.0914152798,0.00900744416873478
1076637.09141528,0.00900744416873478
1076172.0914152802,0.00900744416873478
1077672.0914152802,0.00900744416873478
1078422.0914152802,0.00900744416873478
1080672.0914152802,0.00900744416873478
1075272.0914152802,0.00900744416873478
1076022.0914152802,0.00900744416873478
1076772.0914152802,0.00900744416873478
1077522.0914152802,0.00900744416873478
1078272.0914152802,0.00900744416873478
1079022.0914152802,0.00900744416873478
1080522.0914152802,0.00900744416873478
1082772.0914152802,0.00900744416873478
1084272.0914152802,0.00900744416873478
1086522.0914152802,0.00900744416873478
1088022.0914152802,0.00900744416873478
1083612.0914152805,0.00900744416873478
1080795.8414152805,0.00900744416873478
1081545.8414152805,0.00900744416873478
1082295.8414152805,0.00900744416873478
1086045.8414152805,0.00900744416873478
1081489.59141528,0.00900744416873478
1083739.59141528,0.00900744416873478
1084489.59141528,0.00900744416873478
1085239.59141528,0.00900744416873478
1085989.59141528,0.00900744416873478
1122821.52891528,0.00900744416873478
1117639.02891528,0.00900744416873478
1189743.4664152795,0.00900744416873478
1261844.1539152795,0.00900744416873478
1262594.1539152795,0.00900744416873478
1263344.1539152795,0.00900744416873478
1264844.1539152795,0.00900744416873478
1266344.1539152795,0.00900744416873478
1260104.1539152798,0.00900744416873478
1255397.90391528,0.00900744416873478
1256147.90391528,0.00900744416873478
1256897.90391528,0.00900744416873478
1260647.90391528,0.00900744416873478
1254422.9039152805,0.00900744416873478
1255172.9039152805,0.00900744416873478
1255922.9039152805,0.00900744416873478
1367400.27891528,0.00900744416873478
1442632.4039152795,0.00900744416873478
1444132.4039152795,0.00900744416873478
1445632.4039152795,0.00900744416873478
1446382.4039152795,0.00900744416873478
1447882.4039152795,0.00900744416873478
1450132.4039152795,0.00900744416873478
1450882.4039152795,0.00900744416873478
1446569.9039152795,0.00900744416873478
1447319.9039152795,0.00900744416873478
1448069.9039152795,0.00900744416873478
1448819.9039152795,0.00900744416873478
1449569.9039152795,0.00900744416873478
1450319.9039152795,0.00900744416873478
1442036.1563512676,0.00900744416873478
1433500.7910446678,0.00900744416873478
1426615.7910446676,0.00900744416873478
1427365.7910446676,0.00900744416873478
1428115.7910446676,0.00900744416873478
1547789.634794667,0.00900744416873478
1538789.634794667,0.00900744416873478
1536779.6347946667,0.00900744416873478
1537529.6347946667,0.00900744416873478
1531402.1347946667,0.00900744416873478
1532902.1347946667,0.00900744416873478
1523872.1347946671,0.00900744416873478
1517253.384794668,0.00900744416873478
1518753.384794668,0.00900744416873478
1511425.8847946683,0.00900744416873478
1504443.3847946683,0.00900744416873478
1500205.8847946685,0.00900744416873478
1501705.8847946685,0.00900744416873478
1505455.8847946685,0.00900744416873478
1498008.9852038736,0.00900744416873478
1490854.120891149,0.00900744416873478
1491604.120891149,0.00900744416873478
1492354.120891149,0.00900744416873478
1486564.1208911487,0.00900744416873478
1481569.1208911487,0.00900744416873478
1482319.1208911487,0.00900744416873478
1483069.1208911487,0.00900744416873478
1483819.1208911487,0.00900744416873478
1478851.4563240057,0.00900744416873478
1472728.542057731,0.00900744416873478
1473478.542057731,0.00900744416873478
1474228.542057731,0.00900744416873478
1474978.542057731,0.00900744416873478
1475728.542057731,0.00900744416873478
1470002.292057731,0.00900744416873478
1464407.292057731,0.00900744416873478
1465157.292057731,0.00900744416873478
1459153.5420577307,0.00900744416873478
1459903.5420577307,0.00900744416873478
1454376.658846753,0.00900744416873478
1455126.658846753,0.00900744416873478
1451264.158846753,0.00900744416873478
1452014.158846753,0.00900744416873478
1453514.158846753,0.00900744416873478
1454264.158846753,0.00900744416873478
1455014.158846753,0.00900744416873478
1452651.6588467532,0.00900744416873478
1454151.6588467532,0.00900744416873478
1457901.6588467532,0.00900744416873478
1451909.1588467532,0.00900744416873478
1453409.1588467532,0.00900744416873478
