trade_id,strategy,action,entry_price,exit_price,pnl,pnl_points,pnl_percent,duration_minutes,exit_reason,risk_pct,risk_reward,market_regime,volatility_regime,confidence,entry_data,exit_data
734,trend_following,BUY,24315.0,24325.0,3000.0,10.0,0.04112687641373637,135.0,STOP_LOSS,0.4244553230999031,2.5,NEUTRAL,NORMAL,0.8,"{'price': 24315.0, 'rsi': 55.3722317400571, 'macd': 23.95467212560834, 'atr_pct': 0.2815281572221739, 'bb_position': 0.389201468746171, 'ema_distance': 0.05477424798776277, 'trend_strength': 0.2596579851555916, 'hour': 12, 'day_of_week': 4}","{'price': 24306.25, 'rsi': 36.41557527966856, 'macd': 1.0014021159986441, 'atr_pct': 0.2197406604709253, 'bb_position': 0.28264353980649587, 'ema_distance': 0.014466557623649687, 'trend_strength': 0.6055835872102826, 'hour': 14, 'day_of_week': 4}"
735,trend_following,BUY,24448.3,24458.3,3750.0,10.0,0.04090263944732354,1125.0,STOP_LOSS,0.23448482071365437,2.5,TRENDING,LOW,0.8,"{'price': 24448.3, 'rsi': 50.429510826865105, 'macd': 16.20840606456477, 'atr_pct': 0.1069165778981995, 'bb_position': 0.23720164711484248, 'ema_distance': 0.04404959917092662, 'trend_strength': 0.45797482109286713, 'hour': 15, 'day_of_week': 0}","{'price': 24391.65, 'rsi': 32.89155020422194, 'macd': 3.377938405981695, 'atr_pct': 0.14063653516089186, 'bb_position': -0.32034212016770236, 'ema_distance': 0.015150792303226515, 'trend_strength': 0.5272360496408681, 'hour': 9, 'day_of_week': 1}"
736,breakout,SELL,24335.9,24325.9,3750.0,10.0,0.0410915560961378,1140.0,STOP_LOSS,0.501872418178461,3.0,TRENDING,LOW,0.75,"{'price': 24335.9, 'rsi': 38.003646996866955, 'macd': -14.024168195141101, 'atr_pct': 0.10190705911842196, 'bb_position': -0.24584376384354562, 'ema_distance': 0.05611524884238919, 'trend_strength': 0.5528340231159263, 'hour': 15, 'day_of_week': 1}","{'price': 24329.25, 'rsi': 42.02670877139979, 'macd': -16.762479755670938, 'atr_pct': 0.22289454639403905, 'bb_position': 0.10763474333257078, 'ema_distance': 0.07034849889688438, 'trend_strength': 0.6939725427839388, 'hour': 10, 'day_of_week': 2}"
737,trend_following,SELL,24372.6,24362.6,3000.0,10.0,0.041029680871142185,60.0,STOP_LOSS,0.4261235171833386,2.5,TRENDING,NORMAL,0.8,"{'price': 24372.6, 'rsi': 48.07248435506008, 'macd': -14.388315098785824, 'atr_pct': 0.2431448195338798, 'bb_position': 0.5192825515620725, 'ema_distance': 0.05255045876454305, 'trend_strength': 0.7674627317229149, 'hour': 11, 'day_of_week': 2}","{'price': 24374.85, 'rsi': 48.66513424152643, 'macd': -5.569020319995616, 'atr_pct': 0.25897595267252926, 'bb_position': 0.5337661915926839, 'ema_distance': 0.008900369938206105, 'trend_strength': 0.8341973368509129, 'hour': 12, 'day_of_week': 2}"
739,trend_following,SELL,24374.85,24364.85,3000.0,10.0,0.041025893492677906,105.0,STOP_LOSS,0.41344305361867867,2.5,TRENDING,NORMAL,0.8,"{'price': 24374.85, 'rsi': 48.66513424152643, 'macd': -5.569020319995616, 'atr_pct': 0.25897595267252926, 'bb_position': 0.5337661915926839, 'ema_distance': 0.008900369938206105, 'trend_strength': 0.8341973368509129, 'hour': 12, 'day_of_week': 2}","{'price': 24371.25, 'rsi': 58.41650587932573, 'macd': -4.534668983880692, 'atr_pct': 0.13001267594281862, 'bb_position': 0.5205406604671254, 'ema_distance': 0.013350957699720889, 'trend_strength': 0.801924799587197, 'hour': 13, 'day_of_week': 2}"
738,trend_following,SELL,24406.45,24396.45,3750.0,10.0,0.040972775639226515,165.0,STOP_LOSS,0.2984939897152618,2.5,TRENDING,NORMAL,0.8,"{'price': 24406.45, 'rsi': 53.671513271685164, 'macd': -9.588542244237033, 'atr_pct': 0.24718290217779146, 'bb_position': 0.7785539306689861, 'ema_distance': 0.025374185377282747, 'trend_strength': 0.7790944147932044, 'hour': 11, 'day_of_week': 2}","{'price': 24406.9, 'rsi': 59.86427926502526, 'macd': -1.245073394409701, 'atr_pct': 0.13304200275917352, 'bb_position': 0.7859529292626394, 'ema_distance': 0.0047597474615006605, 'trend_strength': 0.7542746687091848, 'hour': 14, 'day_of_week': 2}"
740,trend_following,BUY,24380.3,24390.3,3750.0,10.0,0.0410167225177705,195.0,STOP_LOSS,0.241335695350221,2.5,TRENDING,LOW,0.8,"{'price': 24380.3, 'rsi': 49.24826227634105, 'macd': 4.392638808803895, 'atr_pct': 0.12842628796903421, 'bb_position': 0.4089692401342172, 'ema_distance': 0.01883234899397435, 'trend_strength': 0.34497883091653736, 'hour': 9, 'day_of_week': 3}","{'price': 24385.95, 'rsi': 47.04874143287643, 'macd': 2.8263916277464887, 'atr_pct': 0.06419094367277794, 'bb_position': 0.09702047640297815, 'ema_distance': 0.006400782183280989, 'trend_strength': 0.1975044976278671, 'hour': 13, 'day_of_week': 3}"
741,breakout,SELL,24366.55,24245.5,45393.74999999972,121.04999999999927,0.4967876043182119,120.0,TAKE_PROFIT,0.5568627047197938,3.0,NEUTRAL,LOW,0.75,"{'price': 24366.55, 'rsi': 43.275691090782125, 'macd': 0.11006451668072259, 'atr_pct': 0.06918149207476282, 'bb_position': -0.20823417497016697, 'ema_distance': 0.008174708087923336, 'trend_strength': 0.22092406573400833, 'hour': 13, 'day_of_week': 3}","{'price': 24154.1, 'rsi': 20.34542110463147, 'macd': -35.35081721103052, 'atr_pct': 0.1799162165311177, 'bb_position': -0.30350684512170584, 'ema_distance': 0.17880517328720302, 'trend_strength': 0.5104762061205743, 'hour': 15, 'day_of_week': 3}"
743,trend_following,BUY,24722.3,24732.3,2250.0,10.0,0.04044931094598803,30.0,STOP_LOSS,0.38712140940809886,2.5,TRENDING,NORMAL,0.8,"{'price': 24722.3, 'rsi': 35.568356559450834, 'macd': 25.912453217064467, 'atr_pct': 0.3794000904908896, 'bb_position': 0.25828736380771566, 'ema_distance': 0.007705423258662383, 'trend_strength': 0.34913140597976033, 'hour': 11, 'day_of_week': 1}","{'price': 24712.75, 'rsi': 35.96828461509543, 'macd': 18.665920614392235, 'atr_pct': 0.4026839818081194, 'bb_position': 0.26688547888247804, 'ema_distance': 0.008561923878378468, 'trend_strength': 0.39681567079968594, 'hour': 12, 'day_of_week': 1}"
742,trend_following,BUY,24700.8,24710.8,2250.0,10.0,0.040484518720041454,120.0,STOP_LOSS,0.40829636670867075,2.5,NEUTRAL,NORMAL,0.8,"{'price': 24700.8, 'rsi': 38.0378486621738, 'macd': 46.83229680070144, 'atr_pct': 0.31439120537449566, 'bb_position': 0.15941925874331964, 'ema_distance': 0.0426688474571324, 'trend_strength': 0.2503399351763256, 'hour': 10, 'day_of_week': 1}","{'price': 24644.05, 'rsi': 32.91047385884988, 'macd': 8.86268708208081, 'atr_pct': 0.42539969804360217, 'bb_position': 0.11889934331277037, 'ema_distance': 0.05186711662442372, 'trend_strength': 0.42427533829453595, 'hour': 12, 'day_of_week': 1}"
